Region/country/area,Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
World,Total renewable energy,1224598.532,1331785.295,1445128.064,1567206.095,1699477.334,1853968.569,2016606.353,2187942.884,2363041.663,2550532.736,2824988.56,3089984.488,3381757.632
World,Hydropower,1025719.93,1057262.144,1090270.418,1137301.886,1175773.068,1210485.674,1245999.238,1270980.987,1293983.708,1312349.044,1334350.424,1362086.636,1392512.209
World,Renewable hydropower,925667.88,953988.934,984665.124,1029572.642,1066302.324,1098583.93,1129092.454,1151137.323,1173623.544,1191742.88,1213171.5,1234382.112,1255454.185
World,Pumped storage,100052.05,103273.21,105605.294,107729.244,109470.744,111901.744,116906.784,119843.664,120360.164,120606.164,121178.924,127704.524,137058.024
World,Marine,249.595,502.68,509.409,509.616,513.027,512.338,522.468,526.764,526.856,524.836,523.391,523.068,523.348
World,Wind,181090.194,220249.47,267349.84,300051.92,349540.627,416421.401,467013.17,515082.306,563864.083,622779.606,733564.569,825663.023,898855.912
World,Onshore wind energy,178034.844,216473.66,262015.89,292880.67,341048.857,404697.331,452666.42,496245.106,540273.683,594487.306,699195.47,771414.124,836232.712
World,Offshore wind energy,3055.35,3775.81,5333.95,7171.25,8491.77,11724.07,14346.75,18837.2,23590.4,28292.3,34369.099,54248.899,62623.2
World,Solar,41577.206,73940.655,104227.227,141417.262,180777.273,229066.82,301307.203,396351.511,492575.452,595807.823,728058.143,872403.276,1061632.127
World,Solar photovoltaic,40311.386,72236.635,101660.707,137474.929,176177.14,224215.377,296335.76,391279.998,486763.118,589429.339,721545.959,866026.813,1055029.774
World,Concentrated solar power,1265.82,1704.02,2566.52,3942.333,4600.133,4851.443,4971.443,5071.513,5812.334,6378.484,6512.184,6376.463,6602.353
World,Bioenergy,66099.381,73098.13,77858.838,84868.329,91095.407,97537.154,106498.124,112091.407,119247.107,125879.34,135539.406,142606.096,150671.298
World,Solid biofuels and renewable municipal waste,54664.405,59674.832,62591.005,68687.731,73596.601,79286.563,87359.369,92318.1,98359.663,103289.335,111674.695,118877.957,126417.772
World,Renewable municipal waste,6700.103,7037.816,7515.831,8617.24,8827.786,9746.48,10620.035,11545.618,12750.699,14243.201,17067.295,19428.344,21993.562
World,Bagasse,10926.679,12082.191,13307.719,14888.612,15844.327,17099.009,17878.066,18430.135,19232.576,19982.512,20378.198,20524.697,20783.209
