CountryName,Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
World,Total renewable energy,4197302.779,4403929.047,4756100.346,5039245.498,5315183.478,5516328.579,5884328.36,6225317.961,6627718.734,6994720.276,7455905.333,7857802.526
World,Hydropower,3534165.407,3587790.17,3773510.575,3874569.789,3986971.228,3985835.359,4147089.754,4185463.094,4306776.27,4352825.868,4477721.63,4400679.013
World,Renewable hydropower,3438760.264,3497375.84,3684459.272,3785581.724,3894735.483,3891841.004,4032714.739,4064483.476,4189346.361,4238697.906,4357351.497,4275374.687
World,Pumped storage,95405.143,90414.33,89051.303,88988.065,92235.745,93994.355,114375.015,120979.618,117429.909,114127.962,120370.133,125304.326
World,Marine,514.686,565.086,963.602,925.115,998.283,1007.104,1042.921,1048.023,1021.241,995.175,983.975,970.024
World,Wind,342843.331,433796.205,526036.617,636786.154,712113.836,828168.461,952964.973,1131831.003,1258795.59,1412376.716,1588477.108,1838263.605
World,Onshore wind energy,335328.609,422203.772,511502.112,616269.32,687455.589,791920.194,911340.76,1074950.354,1190508.725,1327739.23,1484406.626,1700649.956
World,Offshore wind energy,7514.722,11592.433,14534.505,20516.834,24658.247,36248.267,41624.213,56880.649,68286.865,84637.486,104070.482,137613.649
World,Solar,33796.373,65757.967,101978.689,137891.201,193241.022,253223.594,325611.379,437945.142,562505.34,693552.047,842411.926,1033925.911
World,Solar photovoltaic,32143.097,62561.003,96508.882,131716.238,184112.963,243038.856,314480.177,425960.57,550458.288,679386.506,829252.966,1020297.378
World,Concentrated solar power,1653.276,3196.964,5469.807,6174.963,9128.059,10184.738,11131.202,11984.572,12047.052,14165.541,13158.96,13628.533
World,Bioenergy,312951.928,336638.43,371785.414,405653.324,436751.221,460859.567,488730.036,504021.263,526585.658,557118.673,572035.61,614017.268
World,Solid biofuels and renewable municipal waste,260951.138,278640.969,302720.009,326912.711,350606.41,369005.874,395072.256,409065.045,429013.087,457340.933,471268.267,515320.723
